2018-05-31 13:49:22.583 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper --- Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@76a2ddf3, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@524f3b3a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@41e68d87, org.springframework.test.context.support.DirtiesContextTestExecutionListener@49ff7d8c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@29526c05, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2ef14fe, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@77102b91, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@45312be2, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7fb95505, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@58be6e8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7331196b]
2018-05-31 13:49:23.753 [main] INFO  org.pine.mq.test.TestMQ --- Starting TestMQ on yangs with PID 14136 (started by Administrator in F:\git_code\PINESOFT_FRAME\pinesoft-integration-pom\pinesoft-mq)
2018-05-31 13:49:23.754 [main] INFO  org.pine.mq.test.TestMQ --- No active profile set, falling back to default profiles: default
2018-05-31 13:49:23.790 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext --- Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@58359ebd: startup date [Thu May 31 13:49:23 CST 2018]; root of context hierarchy
2018-05-31 13:49:26.740 [main] INFO  o.s.context.support.DefaultLifecycleProcessor --- Starting beans in phase 2147483647
2018-05-31 13:49:27.056 [main] INFO  org.pine.mq.test.TestMQ --- Started TestMQ in 4.011 seconds (JVM running for 6.734)
2018-05-31 13:49:28.373 [Thread-4] INFO  o.s.c.a.AnnotationConfigApplicationContext --- Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@58359ebd: startup date [Thu May 31 13:49:23 CST 2018]; root of context hierarchy
2018-05-31 13:49:28.377 [Thread-4] INFO  o.s.context.support.DefaultLifecycleProcessor --- Stopping beans in phase 2147483647
2018-05-31 13:49:55.059 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper --- Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.pine.mq.test.TestMQ], using SpringBootContextLoader
2018-05-31 13:49:55.079 [main] INFO  o.s.test.context.support.AbstractContextLoader --- Could not detect default resource locations for test class [org.pine.mq.test.TestMQ]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-05-31 13:49:55.504 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper --- Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-05-31 13:49:55.538 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper --- Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3eb25e1a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@477b4cdf, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@77c2494c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@f5958c9, org.springframework.test.context.transaction.TransactionalTestExecutionListener@233795b6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3eb738bb, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5bda8e08, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1e800aaa, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@185a6e9, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6f03482, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@9d5509a]
2018-05-31 13:49:56.062 [main] INFO  org.pine.mq.test.TestMQ --- Starting TestMQ on yangs with PID 13984 (started by Administrator in F:\git_code\PINESOFT_FRAME\pinesoft-integration-pom\pinesoft-mq)
2018-05-31 13:49:56.064 [main] INFO  org.pine.mq.test.TestMQ --- No active profile set, falling back to default profiles: default
2018-05-31 13:49:56.101 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext --- Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2d710f1a: startup date [Thu May 31 13:49:56 CST 2018]; root of context hierarchy
2018-05-31 13:49:58.195 [main] INFO  o.s.context.support.DefaultLifecycleProcessor --- Starting beans in phase 2147483647
2018-05-31 13:49:58.433 [main] INFO  org.pine.mq.test.TestMQ --- Started TestMQ in 2.806 seconds (JVM running for 4.598)
2018-05-31 13:49:59.973 [Thread-4] INFO  o.s.c.a.AnnotationConfigApplicationContext --- Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@2d710f1a: startup date [Thu May 31 13:49:56 CST 2018]; root of context hierarchy
2018-05-31 13:49:59.979 [Thread-4] INFO  o.s.context.support.DefaultLifecycleProcessor --- Stopping beans in phase 2147483647
2018-05-31 13:50:59.961 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper --- Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.pine.mq.test.TestMQ], using SpringBootContextLoader
2018-05-31 13:51:00.046 [main] INFO  o.s.test.context.support.AbstractContextLoader --- Could not detect default resource locations for test class [org.pine.mq.test.TestMQ]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-05-31 13:51:00.817 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper --- Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-05-31 13:51:00.866 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper --- Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3eb25e1a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@477b4cdf, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@77c2494c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@f5958c9, org.springframework.test.context.transaction.TransactionalTestExecutionListener@233795b6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3eb738bb, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5bda8e08, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1e800aaa, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@185a6e9, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6f03482, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@9d5509a]
2018-05-31 13:51:01.708 [main] INFO  org.pine.mq.test.TestMQ --- Starting TestMQ on yangs with PID 13504 (started by Administrator in F:\git_code\PINESOFT_FRAME\pinesoft-integration-pom\pinesoft-mq)
2018-05-31 13:51:01.710 [main] INFO  org.pine.mq.test.TestMQ --- No active profile set, falling back to default profiles: default
2018-05-31 13:51:01.751 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext --- Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2d710f1a: startup date [Thu May 31 13:51:01 CST 2018]; root of context hierarchy
2018-05-31 13:51:04.130 [main] INFO  o.s.context.support.DefaultLifecycleProcessor --- Starting beans in phase 2147483647
2018-05-31 13:51:04.404 [main] INFO  org.pine.mq.test.TestMQ --- Started TestMQ in 3.446 seconds (JVM running for 5.54)
2018-05-31 13:51:05.067 [Thread-4] INFO  o.s.c.a.AnnotationConfigApplicationContext --- Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@2d710f1a: startup date [Thu May 31 13:51:01 CST 2018]; root of context hierarchy
2018-05-31 13:51:05.078 [Thread-4] INFO  o.s.context.support.DefaultLifecycleProcessor --- Stopping beans in phase 2147483647
2018-05-31 13:51:34.784 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper --- Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.pine.mq.test.TestMQ], using SpringBootContextLoader
2018-05-31 13:51:34.800 [main] INFO  o.s.test.context.support.AbstractContextLoader --- Could not detect default resource locations for test class [org.pine.mq.test.TestMQ]: no resource found for suffixes {-context.xml, Context.groovy}.
