2018-06-01 16:50:31.718 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper --- Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@367ffa75, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@49438269, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@ba2f4ec, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1c1bbc4e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@55fe41ea, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@fbd1f6, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1ce24091, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5dda768f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7a8c8dcf, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@24269709, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2aceadd4]
2018-06-01 16:50:32.288 [main] INFO  org.pine.ibaits.TestSqlMapper --- Starting TestSqlMapper on yangs with PID 16780 (started by Administrator in F:\git_code\PINESOFT_FRAME\pinesoft-integration-pom\pinesoft-mybaits)
2018-06-01 16:50:32.299 [main] INFO  org.pine.ibaits.TestSqlMapper --- No active profile set, falling back to default profiles: default
2018-06-01 16:50:32.331 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext --- Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@273e7444: startup date [Fri Jun 01 16:50:32 CST 2018]; root of context hierarchy
2018-06-01 16:50:33.259 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner --- No MyBatis mapper was found in '[org.pine.ibaits]' package. Please check your configuration.
2018-06-01 16:50:34.411 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure --- Init DruidDataSource
2018-06-01 16:50:34.892 [main] ERROR com.alibaba.druid.pool.DruidAbstractDataSource --- oracle.jdbc.driver.OracleDriver is deprecated.
2018-06-01 16:50:35.416 [main] INFO  com.alibaba.druid.pool.DruidDataSource --- {dataSource-1} inited
2018-06-01 16:50:36.265 [main] INFO  org.pine.ibaits.TestSqlMapper --- Started TestSqlMapper in 4.469 seconds (JVM running for 6.334)
2018-06-01 16:50:36.993 [Thread-2] INFO  o.s.c.a.AnnotationConfigApplicationContext --- Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@273e7444: startup date [Fri Jun 01 16:50:32 CST 2018]; root of context hierarchy
2018-06-01 16:50:37.026 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource --- {dataSource-1} closed
2018-06-01 17:07:37.615 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper --- Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.pine.ibaits.TestSqlMapper], using SpringBootContextLoader
2018-06-01 17:07:37.632 [main] INFO  o.s.test.context.support.AbstractContextLoader --- Could not detect default resource locations for test class [org.pine.ibaits.TestSqlMapper]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-06-01 17:07:38.068 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper --- Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-06-01 17:07:38.138 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper --- Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@229f66ed, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@31190526, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@662ac478, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6743e411, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3eb25e1a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@477b4cdf, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@77c2494c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@f5958c9, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@233795b6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3eb738bb, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5bda8e08]
2018-06-01 17:07:38.712 [main] INFO  org.pine.ibaits.TestSqlMapper --- Starting TestSqlMapper on yangs with PID 13640 (started by Administrator in F:\git_code\PINESOFT_FRAME\pinesoft-integration-pom\pinesoft-mybaits)
2018-06-01 17:07:38.718 [main] INFO  org.pine.ibaits.TestSqlMapper --- No active profile set, falling back to default profiles: default
2018-06-01 17:07:38.754 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext --- Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@12aba8be: startup date [Fri Jun 01 17:07:38 CST 2018]; root of context hierarchy
2018-06-01 17:07:39.623 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner --- No MyBatis mapper was found in '[org.pine.ibaits]' package. Please check your configuration.
2018-06-01 17:07:40.592 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure --- Init DruidDataSource
2018-06-01 17:07:41.165 [main] ERROR com.alibaba.druid.pool.DruidAbstractDataSource --- oracle.jdbc.driver.OracleDriver is deprecated.
2018-06-01 17:07:41.728 [main] INFO  com.alibaba.druid.pool.DruidDataSource --- {dataSource-1} inited
2018-06-01 17:07:42.929 [main] INFO  org.pine.ibaits.TestSqlMapper --- Started TestSqlMapper in 4.679 seconds (JVM running for 6.545)
2018-06-01 17:07:43.719 [Thread-2] INFO  o.s.c.a.AnnotationConfigApplicationContext --- Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@12aba8be: startup date [Fri Jun 01 17:07:38 CST 2018]; root of context hierarchy
2018-06-01 17:07:43.731 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource --- {dataSource-1} closed
